//HSK 3.0 (2026)/HSK1
爱,ai4
吧,ba5
八,ba1
爸爸,ba4 ba5
百,bai3
白天,bai2 tian1
半,ban4
包子,bao1 zi5
杯子,bei1 zi5
本,ben3
边,bian1
病,bing4
不,bu4
不客气,bu2 ke4 qi4
不要,bu4 yao4
菜,cai4
茶,cha2
唱,chang4
超市,chao1 shi4
车,che1
吃,chi1
穿,chuan1
出租车,chu1 zu1 che1
大,da4
打电话,da3 dian4 hua4
大家,da4 jia1
到,dao4
大学,da4 xue2
大学生,da4 xue2 sheng5
的,de5
第,di4
店,dian4
点,dian3
电话,dian4 hua4
电脑,dian4 nao3
电视,dian4 shi4
电影,dian4 ying3
电影院,dian4 ying3 yuan4
弟弟,di4 di5
东西,dong1 xi5
都,dou1
读,du2
对,dui4
对不起,dui4 bu5 qi3
多,duo1
多少,duo1 shao5
读书,du2 shu1
二,er4
儿子,er2 zi5
饭,fan4
饭店,fan4 dian4
房间,fang2 jian1
非常,fei1 chang2
飞机,fei1 ji1
分,fen1
分钟,fen1 zhong1
高兴,gao1 xing4
个,ge4
歌,ge1
哥哥,ge1 ge5
给,gei3
公司,gong1 si1
工作,gong1 zuo4
狗,gou3
贵,gui4
国,guo2
还,hai2
孩子,hai2 zi5
汉语
汉字
号,hao4
好,hao3
好吃,hao3 chi1
好看,hao3 kan4
好听,hao3 ting1
好玩儿,hao3 wan2 er5
和,he2
喝,he1
很,hen3
后,hou4
回,hui2
会,hui4
火车,huo3 che1
几,ji3
家,jia1
见,jian4
件,jian4
叫,jiao4
饺子,jiao3 zi5
家人,jia1 ren2
鸡蛋,ji1 dan4
姐姐,jie3 jie5
今年,jin1 nian2
今天,jin1 tian1
九,jiu3
觉得,jue2 de5
开,kai1
开车,kai1 che1
看,kan4
看病,kan4 bing4
看见,kan4 jian4
课,ke4
可以,ke3 yi3
口,kou3
块,kuai4
来,lai2
老师,lao3 shi1
了,le5
冷,leng3
里,li3
两,liang3
零,ling2
六,liu4
吗,ma5
卖,mai4
买,mai3
妈妈,ma1 ma5
忙,mang2
猫,mao1
没关系,mei2 guan1 xi5
妹妹,mei4 mei5
没事
没
没有,mei2 you3
们,men5
面包,mian4 bao1
面条儿,mian4 tiao2 er5
米饭,mi3 fan4
明年,ming2 nian2
明天,ming2 tian1
名字,ming2 zi5
那,na4
哪,na3
那边,na4 bian5
那个,nei4 ge4
哪个
那里
哪里
男
男朋友
那儿
哪儿
那些
哪些
呢
能,neng2
你,ni3
你好,ni3 hao3
年,nian2
你们,ni3 men5
您,nin2
牛奶,niu2 nai3
女,nu:3
女儿,nu:3 er2
女朋友,nu:3 peng2 you5
女士,nu:3 shi4
朋友,peng2 you5
便宜,pian2 yi5
漂亮,piao4 liang5
苹果,ping2 guo3
七,qi1
前,qian2
钱,qian2
千,qian1
起床,qi3 chuang2
请,qing3
请问,qing3 wen4
去,qu4
去年,qu4 nian2
热,re4
人,ren2
认识,ren4 shi5
日,ri4
三,san1
上,shang4
上班,shang4 ban1
商店,shang1 dian4
上课,shang4 ke4
上午,shang4 wu3
上学,shang4 xue2
少,shao3
谁,shei2
生病,sheng1 bing4
什么,shen2 me5
十,shi2
事,shi4
是,shi4
时候,shi2 hou5
时间,shi2 jian1
手机,shou3 ji1
书,shu1
书店,shu1 dian4
睡,shui4
水,shui3
水果,shui3 guo3
睡觉,shui4 jiao4
说,shuo1
说话
四,si4
岁,sui4
他,ta1
它,ta1
她,ta1
太,tai4
他们,ta1 men5
它们,ta1 men5
她们,ta1 men5
天,tian1
天气,tian1 qi4
听,ting1
听见,ting1 jian4
同学,tong2 xue2
外,wai4
外边,wai4 bian5
玩,wan2
晚,wan3
晚饭,wan3 fan4
晚上,wan3 shang5
喂,wei4
问,wen4
问题,wen4 ti2
我,wo3
我们,wo3 men5
五,wu3
午饭,wu3 fan4
下,xia4
下雨,xia4 yu3
下班
下课
想,xiang3
先生,xian1 sheng5
现在,xian4 zai4
小,xiao3
小朋友,xiao3 peng2 you3
小时,xiao3 shi2
小学,xiao3 xue2
小学生,xiao3 xue2 sheng1
下午,xia4 wu3
写,xie3
些,xie1
谢谢,xie4 xie5
喜欢,xi3 huan5
新,xin1
星期,xing1 qi1
星期日,xing1 qi1 ri4
星期天,xing1 qi1 tian1
休息,xiu1 xi5
学,xue2
雪,xue3
学生,xue2 sheng5
学习,xue2 xi2
学校,xue2 xiao4
要,yao4
也,ye3
一,yi1
一半,yi1 ban4
一点儿,yi1 dianr3
衣服,yi1 fu5
医生,yi1 sheng1
一下,yi1 xia4
一些,yi1 xie1
医院,yi1 yuan4
椅子,yi3 zi5
有,you3
有的,you3 de5
有些,you3 xie1
有点儿
有一点儿,you3 yi1 dianr3
雨,yu3
元,yuan2
月,yue4
再,zai4
在,zai4
再见,zai4 jian4
早,zao3
早饭,zao3 fan4
早上,zao3 shang5
怎么,zen3 me5
怎么样,zen3 me5 yang4
找,zhao3
这,zhe4
这边,zhe4 bian1
这个,zhe4 ge4
这里,zhe4 li3
真,zhen1
正在,zheng4 zai4
这儿,zher4
这些,zhe4 xie5
只,zhi1
知道,zhi1 dao4
中国
中文
中午,zhong1 wu3
中学,zhong1 xue2
中学生
住,zhu4
桌子,zhuo1 zi5
字,zi4
坐,zuo4
做,zuo4
做饭,zuo4 fan4
昨天,zuo2 tian1
//HSK 3.0 (2026)/HSK2
啊,a5
爱好,ai4 hao4
白色,bai2 se4
班,ban1
帮,bang1
帮忙,bang1 mang2
包,bao1
本子,ben3 zi5
比,bi3
笔,bi3
别,bie2
不好意思,bu4 hao3 yi4 si5
不错
长,chang2
车站,che1 zhan4
出,chu1
床,chuang2
出国
出来,chu1 lai5
出门,chu1 men2
出去,chu1 qu4
词,ci2
次,ci4
从,cong2
从小,cong2 xiao3
错,cuo4
打,da3
打车
打开,da3 kai1
但,dan4
但是,dan4 shi4
得,de5
地,de5
等,deng3
地铁,di4 tie3
动,dong4
懂,dong3
饭馆,fan4 guan3
飞,fei1
高,gao1
告诉,gao4 su5
高中,gao1 zhong1
跟,gen1
个子,ge4 zi5
公交车
过,guo4
过,guo5
过来,guo4 lai2
过年,guo4 nian2
过去,guo4 qu5
还是,hai2 shi4
黑色,hei1 se4
红茶,hong2 cha2
红色,hong2 se4
后面,hou4 mian5
画,hua4
花,hua1
坏,huai4
回来,hui2 lai5
回去,hui2 qu5
间,jian1
教,jiao1
教室,jiao4 shi4
机场,ji1 chang3
记得,ji4 de5
介绍,jie4 shao4
进,jin4
近,jin4
经常,jing1 chang2
进来,jin4 lai2
进去,jin4 qu4
机票,ji1 piao4
就,jiu4
酒店,jiu3 dian4
咖啡,ka1 fei1
开始,kai1 shi3
开学,kai1 xue2
考,kao3
考试,kao3 shi4
可能,ke3 neng2
快,kuai4
快乐,kuai4 le4
快要,kuai4 yao4
裤子,ku4 zi5
篮球,lan2 qiu2
累,lei4
离,li2
里面,li3 mian4
楼,lou2
路,lu4
绿茶,lu:4 cha2
绿色,lu:4 se4
路上,lu4 shang5
旅游
慢,man4
每,mei3
没意思,mei2 yi4 si5
门,men2
门口,men2 kou3
门票
面,mian4
名,ming2
拿,na2
奶茶,nai3 cha2
奶奶,nai3 nai5
那么,na4 me5
男孩儿,nan2 hair2
那样,na4 yang4
鸟,niao3
女孩儿,nu:3 hair2
旁边,pang2 bian1
跑,pao3
跑步,pao3 bu4
票,piao4
前面,qian2 mian5
起来,qi3 lai5
晴,qing2
球,qiu2
妻子,qi1 zi5
让,rang4
肉,rou4
商场,shang1 chang3
上来,shang4 lai2
上面,shang4 mian5
上去,shang4 qu4
上网,shang4 wang3
生日,sheng1 ri4
身体,shen1 ti3
时,shi2
事情,shi4 qing5
手,shou3
手表,shou3 biao3
书包,shu1 bao1
舒服,shu1 fu5
送,song4
虽然,sui1 ran2
所以,suo3 yi3
疼,teng2
题,ti2
踢,ti1
条,tiao2
跳舞,tiao4 wu3
头,tou2
外国,wai4 guo2
外面,wai4 mian5
完,wan2
万,wan4
忘,wang4
往,wang3
网上,wang3 shang4
位,wei4
为什么,wei4 shen2 me5
洗,xi3
下来,xia5 lai5
下面,xia4 mian5
笑,xiao4
小孩儿
小时候
下去,xia4 qu5
姓,xing4
姓名,xing4 ming2
洗手间,xi3 shou3 jian1
希望,xi1 wang4
眼睛,yan3 jing1
颜色,yan2 se4
药,yao4
药店,yao4 dian4
爷爷,ye2 ye5
一会儿,yi1 huir4
已经,yi3 jing1
阴,yin1
因为,yin1 wei4
一起,yi1 qi3
意思,yi4 si5
游,you2
右,you4
有意思
右边,you4 bian1
有时,you3 shi2
有时候,you3 shi2 hou5
游泳,you2 yong3
鱼,yu2
远,yuan3
运动,yun4 dong4
站,zhan4
丈夫,zhang4 fu5
着,zhe5
这么,zhe4 me5
正,zheng4
这样,zhe4 yang4
周,zhou1
准备,zhun3 bei4
自己,zi4 ji3
走,zou3
走路
最,zui4
左,zuo3
左边,zuo3 bian1
足球,zu2 qiu2
//HSK 3.0 (2026)/HSK3
矮,ai3
爱人,ai4 ren5
安静,an1 jing4
安全,an1 quan2
阿姨,a1 yi2
把,ba3
办,ban4
搬,ban1
办法,ban4 fa3
办公室,ban4 gong1 shi4
帮助,bang1 zhu4
班级,ban1 ji2
搬家,ban1 jia1
半天,ban4 tian1
饱,bao3
报纸,bao4 zhi3
被,bei4
北,bei3
北方,bei3 fang1
变,bian4
遍,bian4
变成,bian4 cheng2
变化,bian4 hua4
表演,biao3 yan3
别的,bie2 de5
别人,bie2 ren2
笔记,bi3 ji4
比较,bi3 jiao4
笔记本,bi3 ji4 ben3
冰,bing1
冰激凌
病人,bing4 ren2
宾馆,bin1 guan3
冰箱,bing1 xiang1
比如,bi3 ru2
比赛,bi3 sai4
必须,bi4 xu1
不同,bu4 tong2
不但
不见
不久
